Repositorio,created_at,updated_at,language,merged_pull_requests,releases,open_issues,closed_issues,closed_issues_percent
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,2025-08-20T23:24:30Z,TypeScript,25465,0,193,19633,99.03
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,2025-08-20T23:24:05Z,Markdown,138,0,227,595,72.38
sindresorhus/awesome,2014-07-11T13:42:37Z,2025-08-20T23:29:26Z,,674,0,13,340,96.32
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,2025-08-20T23:27:30Z,Python,6635,0,31,1150,97.38
public-apis/public-apis,2016-03-20T23:49:42Z,2025-08-20T23:24:16Z,Python,1842,0,8,704,98.88
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,2025-08-20T22:56:55Z,TypeScript,3682,1,248,2693,91.57
jwasham/coding-interview-university,2016-06-06T02:34:12Z,2025-08-20T23:24:19Z,,411,0,63,453,87.79
donnemartin/system-design-primer,2017-02-26T16:15:28Z,2025-08-20T22:51:37Z,Python,199,0,248,91,26.84
996icu/996.ICU,2019-03-26T07:31:14Z,2025-08-20T18:27:21Z,,1036,0,0,0,0.0
vinta/awesome-python,2014-06-27T21:00:06Z,2025-08-20T23:30:13Z,Python,538,0,0,0,0.0
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,2025-08-20T23:12:02Z,,0,1,0,0,0.0
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,2025-08-20T22:50:34Z,,0,0,0,0,0.0
facebook/react,2013-05-24T16:15:54Z,2025-08-20T23:07:39Z,JavaScript,0,30,0,0,0.0
vuejs/vue,2013-07-29T03:24:51Z,2025-08-20T15:06:09Z,TypeScript,0,30,0,0,0.0
TheAlgorithms/Python,2016-07-16T09:44:01Z,2025-08-20T22:55:45Z,Python,0,0,0,0,0.0
torvalds/linux,2011-09-04T22:48:12Z,2025-08-20T23:28:22Z,C,0,0,0,0,0.0
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,2025-08-20T22:11:24Z,JavaScript,0,0,0,0,0.0
tensorflow/tensorflow,2015-11-07T01:19:20Z,2025-08-20T22:50:20Z,C++,0,30,0,0,0.0
ossu/computer-science,2014-05-04T00:18:39Z,2025-08-20T23:06:02Z,HTML,0,0,0,0,0.0
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,2025-08-20T23:04:43Z,,0,0,0,0,0.0
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,2025-08-20T21:24:23Z,,0,0,0,0,0.0
CyC2018/CS-Notes,2018-02-13T14:56:24Z,2025-08-20T22:41:28Z,,373,0,123,448,78.46
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,2025-08-20T22:40:56Z,Shell,3351,0,140,4824,97.18
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,2025-08-20T22:58:40Z,Python,3194,30,161,3230,95.25
microsoft/vscode,2015-09-03T20:23:38Z,2025-08-20T22:37:23Z,TypeScript,36174,30,12063,193177,94.12
twbs/bootstrap,2011-07-29T21:19:00Z,2025-08-20T23:03:28Z,MDX,8956,30,405,22344,98.22
flutter/flutter,2015-03-06T22:54:58Z,2025-08-20T22:24:31Z,Dart,43808,7,11904,96872,89.06
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,2025-08-20T19:49:44Z,Jupyter Notebook,13,0,573,118,17.08
github/gitignore,2010-11-08T20:17:14Z,2025-08-20T23:23:04Z,,1700,0,0,0,0.0
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,2025-08-20T18:37:22Z,,316,0,122,136,52.71
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,2025-08-20T23:15:43Z,Python,1866,27,2363,5467,69.82
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,2025-08-20T18:30:10Z,Java,0,0,0,0,0.0
ollama/ollama,2023-06-26T19:39:32Z,2025-08-20T23:01:46Z,Go,0,30,0,0,0.0
avelino/awesome-go,2014-07-06T13:42:15Z,2025-08-20T23:26:42Z,Go,0,0,0,0,0.0
huggingface/transformers,2018-10-29T13:56:00Z,2025-08-20T22:20:00Z,Python,0,30,0,0,0.0
airbnb/javascript,2012-11-01T23:13:50Z,2025-08-20T23:30:16Z,JavaScript,0,0,0,0,0.0
massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,2025-08-20T23:16:22Z,Batchfile,0,24,0,0,0.0
ytdl-org/youtube-dl,2010-10-31T14:35:07Z,2025-08-20T21:47:42Z,Python,0,30,0,0,0.0
vercel/next.js,2016-10-05T23:32:51Z,2025-08-20T23:24:36Z,JavaScript,0,30,2321,21046,90.07
f/awesome-chatgpt-prompts,2022-12-05T13:54:13Z,2025-08-20T23:08:18Z,JavaScript,167,0,0,0,0.0
n8n-io/n8n,2019-06-22T09:24:21Z,2025-08-20T23:06:32Z,TypeScript,10605,30,627,4529,87.84
golang/go,2014-08-19T04:33:40Z,2025-08-20T22:00:46Z,Go,1,0,9174,58755,86.49
labuladong/fucking-algorithm,2020-02-19T09:01:23Z,2025-08-20T19:59:27Z,Markdown,238,1,2,916,99.78
yangshun/tech-interview-handbook,2016-07-05T05:00:48Z,2025-08-20T23:23:56Z,TypeScript,479,0,41,74,64.35
Genymobile/scrcpy,2017-11-21T18:00:27Z,2025-08-20T22:55:55Z,C,113,30,2448,3167,56.4
521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,2025-08-20T22:56:42Z,Python,16,30,214,2626,92.46
Chalarangelo/30-seconds-of-code,2017-11-29T17:35:03Z,2025-08-20T23:28:35Z,JavaScript,823,12,0,300,100.0
facebook/react-native,2015-01-09T18:10:16Z,2025-08-20T23:24:56Z,C++,928,30,657,26541,97.58
yt-dlp/yt-dlp,2020-10-26T04:22:55Z,2025-08-20T23:28:09Z,Python,2898,30,0,0,0.0
microsoft/PowerToys,2019-05-01T17:44:02Z,2025-08-20T22:54:06Z,C#,0,30,0,0,0.0
electron/electron,2013-04-12T01:47:36Z,2025-08-20T23:21:21Z,C++,0,30,0,0,0.0
kubernetes/kubernetes,2014-06-06T22:56:04Z,2025-08-20T22:39:20Z,Go,0,30,0,0,0.0
krahets/hello-algo,2022-11-04T11:08:34Z,2025-08-20T20:42:28Z,Java,0,9,0,0,0.0
justjavac/free-programming-books-zh_CN,2013-11-04T01:59:19Z,2025-08-20T23:17:51Z,,0,3,0,0,0.0
langchain-ai/langchain,2022-10-17T02:58:36Z,2025-08-20T23:10:25Z,Jupyter Notebook,0,30,0,0,0.0
nodejs/node,2014-11-26T19:57:11Z,2025-08-20T20:38:38Z,JavaScript,0,30,0,0,0.0
langgenius/dify,2023-04-12T07:40:24Z,2025-08-20T22:56:38Z,TypeScript,0,30,0,0,0.0
d3/d3,2010-09-27T17:22:42Z,2025-08-20T19:40:30Z,Shell,0,30,0,0,0.0
ripienaar/free-for-dev,2015-03-18T21:06:26Z,2025-08-20T23:27:10Z,HTML,0,0,0,0,0.0
mrdoob/three.js,2010-03-23T18:58:01Z,2025-08-20T23:24:10Z,JavaScript,14366,30,449,12719,96.59
axios/axios,2014-08-18T22:30:27Z,2025-08-20T20:18:48Z,JavaScript,997,30,273,4571,94.36
open-webui/open-webui,2023-10-06T22:08:27Z,2025-08-20T23:29:48Z,JavaScript,2499,30,196,5954,96.81
rust-lang/rust,2010-06-16T20:39:03Z,2025-08-20T23:20:29Z,Rust,65373,30,10641,48578,82.03
excalidraw/excalidraw,2020-01-02T01:04:43Z,2025-08-20T23:16:05Z,TypeScript,3694,14,1839,2401,56.63
microsoft/TypeScript,2014-06-17T15:28:39Z,2025-08-20T23:01:52Z,TypeScript,14667,30,5591,36855,86.83
goldbergyoni/nodebestpractices,2017-09-15T08:33:19Z,2025-08-20T21:22:21Z,Dockerfile,764,0,43,285,86.89
denoland/deno,2018-05-15T01:34:26Z,2025-08-20T21:35:50Z,Rust,13317,30,2271,10904,82.76
facebook/create-react-app,2016-07-17T14:55:11Z,2025-08-20T20:47:09Z,JavaScript,1949,30,1834,6567,78.17
langflow-ai/langflow,2023-02-08T22:28:03Z,2025-08-20T23:29:06Z,Python,4613,30,431,2258,83.97
GrowingGit/GitHub-Chinese-Top-Charts,2019-09-05T03:01:56Z,2025-08-20T17:28:27Z,Java,0,0,0,0,0.0
godotengine/godot,2014-01-04T16:05:36Z,2025-08-20T22:56:56Z,C++,0,30,0,0,0.0
microsoft/terminal,2017-08-11T18:38:22Z,2025-08-20T23:00:53Z,C++,0,30,0,0,0.0
deepseek-ai/DeepSeek-V3,2024-12-26T09:52:40Z,2025-08-20T23:16:06Z,Python,0,1,0,0,0.0
angular/angular,2014-09-18T16:12:01Z,2025-08-20T23:27:51Z,TypeScript,0,30,0,0,0.0
fatedier/frp,2015-12-21T15:24:59Z,2025-08-20T20:15:27Z,Go,0,30,0,0,0.0
papers-we-love/papers-we-love,2013-12-15T14:31:41Z,2025-08-20T22:36:13Z,Shell,0,0,0,0,0.0
Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,2025-08-20T23:05:04Z,,0,0,0,0,0.0
mui/material-ui,2014-08-18T19:11:54Z,2025-08-20T23:06:42Z,TypeScript,0,30,1619,18550,91.97
iptv-org/iptv,2018-11-14T22:00:57Z,2025-08-20T23:15:12Z,TypeScript,6470,0,489,14329,96.7
rustdesk/rustdesk,2020-09-28T15:36:08Z,2025-08-20T23:26:36Z,Rust,3631,30,57,3537,98.41
tauri-apps/tauri,2019-07-13T09:09:37Z,2025-08-20T22:52:24Z,Rust,5164,30,1125,4643,80.5
ant-design/ant-design,2015-04-24T15:37:24Z,2025-08-20T19:34:56Z,TypeScript,15750,30,1229,30391,96.11
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,2025-08-20T23:29:28Z,Jupyter Notebook,387,0,11,165,93.75
nvbn/thefuck,2015-04-08T15:08:04Z,2025-08-20T20:26:58Z,Python,478,17,288,472,62.11
ryanmcdermott/clean-code-javascript,2016-11-25T22:25:41Z,2025-08-20T23:30:17Z,JavaScript,149,0,72,163,69.36
shadcn-ui/ui,2023-01-04T12:43:27Z,2025-08-20T22:42:01Z,TypeScript,636,30,967,2377,71.08
Anduin2017/HowToCook,2020-02-29T10:43:49Z,2025-08-20T22:17:06Z,Dockerfile,583,4,435,346,44.3
pytorch/pytorch,2016-08-13T05:26:41Z,2025-08-20T22:53:05Z,Python,6191,30,0,0,0.0
iluwatar/java-design-patterns,2014-08-09T16:45:18Z,2025-08-20T22:40:47Z,Java,0,0,0,0,0.0
neovim/neovim,2014-01-31T13:39:22Z,2025-08-20T22:52:53Z,Vim Script,0,30,0,0,0.0
puppeteer/puppeteer,2017-05-09T22:16:13Z,2025-08-20T23:23:27Z,TypeScript,0,30,0,0,0.0
microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2025-08-20T21:58:48Z,JavaScript,0,0,0,0,0.0
deepseek-ai/DeepSeek-R1,2025-01-20T11:57:28Z,2025-08-20T22:16:39Z,,0,1,0,0,0.0
PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,2025-08-20T19:03:14Z,Vue,0,30,0,0,0.0
tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,2025-08-20T20:21:46Z,TypeScript,0,30,0,0,0.0
fastapi/fastapi,2018-12-08T08:21:47Z,2025-08-20T21:53:48Z,Python,0,30,49,3417,98.59
mtdvio/every-programmer-should-know,2017-08-24T13:18:26Z,2025-08-20T20:38:08Z,,98,0,29,23,44.23
storybookjs/storybook,2016-03-18T04:23:44Z,2025-08-20T23:25:52Z,TypeScript,11473,30,2078,11613,84.82
supabase/supabase,2019-10-12T05:56:49Z,2025-08-20T23:05:57Z,TypeScript,12924,22,235,4420,94.95
jaywcjlove/awesome-mac,2016-07-17T15:33:47Z,2025-08-20T22:56:48Z,JavaScript,987,12,113,367,76.46
openai/whisper,2022-09-16T20:02:54Z,2025-08-20T23:02:26Z,Python,119,13,0,0,0.0
nvm-sh/nvm,2010-04-15T17:47:47Z,2025-08-20T19:40:29Z,Shell,727,30,316,1998,86.34
comfyanonymous/ComfyUI,2023-01-17T03:15:56Z,2025-08-20T23:10:16Z,Python,1192,30,2513,3663,59.31
ChatGPTNextWeb/NextChat,2023-03-10T18:27:54Z,2025-08-20T23:22:27Z,TypeScript,888,30,660,2885,81.38
2dust/v2rayN,2019-07-30T03:47:24Z,2025-08-20T22:40:27Z,C#,267,30,7,6012,99.88
ggml-org/llama.cpp,2023-03-10T18:58:00Z,2025-08-20T23:15:37Z,C++,5490,30,0,0,0.0
bitcoin/bitcoin,2010-12-19T15:16:43Z,2025-08-20T23:13:14Z,C++,0,30,0,0,0.0
florinpop17/app-ideas,2019-02-25T18:36:56Z,2025-08-20T14:44:14Z,,0,0,0,0,0.0
django/django,2012-04-28T02:47:18Z,2025-08-20T21:19:42Z,Python,0,0,0,0,0.0
sveltejs/svelte,2016-11-20T18:13:05Z,2025-08-20T21:23:15Z,JavaScript,0,30,0,0,0.0
gin-gonic/gin,2014-06-16T23:57:25Z,2025-08-20T22:24:19Z,Go,0,27,0,0,0.0
opencv/opencv,2012-07-19T09:40:17Z,2025-08-20T21:41:29Z,C++,0,30,0,0,0.0
gohugoio/hugo,2013-07-04T15:26:26Z,2025-08-20T23:19:27Z,Go,0,30,0,0,0.0
mermaid-js/mermaid,2014-11-01T23:52:32Z,2025-08-20T22:16:33Z,TypeScript,0,30,0,0,0.0
gothinkster/realworld,2016-02-26T20:49:53Z,2025-08-20T17:40:55Z,TypeScript,0,0,39,503,92.8
animate-css/animate.css,2011-10-12T10:07:38Z,2025-08-20T15:29:01Z,CSS,314,22,39,841,95.57
laravel/laravel,2011-06-08T03:06:08Z,2025-08-20T22:55:27Z,Blade,1607,30,0,0,0.0
macrozheng/mall,2018-04-04T01:11:44Z,2025-08-20T14:46:20Z,Java,1,3,10,487,97.99
home-assistant/core,2013-09-17T07:29:48Z,2025-08-20T21:09:06Z,Python,75697,30,2376,60076,96.2
DigitalPlatDev/FreeDomain,2024-05-30T13:23:00Z,2025-08-20T23:21:15Z,HTML,0,0,0,0,0.0
tonsky/FiraCode,2014-11-11T19:32:38Z,2025-08-20T19:39:24Z,Clojure,136,29,410,954,69.94
oven-sh/bun,2021-04-14T00:48:17Z,2025-08-20T23:16:16Z,Zig,5964,30,4776,8301,63.48
